run,fen,model,llm_bestmove,fen_valid,llm_move_valid
,1R6/1Pr1nqB1/2kpQB1q/1Qn2Q2/rRP5/2q5/2Q5/B1R3BK w - - 0 1,qwen25,d7d5,True,False
,B6N/7k/Nr3R2/8/5B2/2PPr1Q1/7K/3N1Q1r w - - 0 1,qwen25,h7h5,True,False
,k7/1N3b2/1b3q2/1Bq5/8/4B2N/4B3/n6K w - - 0 1,qwen25,d7d5,True,False
,8/6r1/4r3/2k4N/1n2Bq2/8/5qb1/Q2K4 w - - 0 1,qwen25,d2d4,True,False
,8/r2Kk3/2b5/8/8/3P4/4p3/6B1 w - - 0 1,qwen25,d7d5,True,False
,6b1/1N6/Q2K1n2/3R2bP/2Q4N/8/1R1Q3k/7r w - - 0 1,qwen25,h7h5,True,False
,R1N3Q1/p4p1r/n3r2P/6n1/p2B4/K2k2R1/3Q2b1/4BRNN w - - 0 1,qwen25,d5d4,True,False
,2rB2Kb/1N3p2/2N4R/3p2R1/3P4/5n1n/1k1R2r1/3bQ3 w - - 0 1,qwen25,d2d4,True,False
,5bR1/B7/3k4/q3Q3/5q2/4Q3/2Q5/1K1Q4 w - - 0 1,qwen25,h7h8,True,False
,K7/5rq1/q4qQQ/2Q2Q2/r3Nq1p/nPR4n/k6n/1b1Q1NB1 w - - 0 1,qwen25,d5d4,True,False
,1N3q2/1NQ2Q1N/5KNQ/4p2r/1n6/1p6/4k3/1R6 w - - 0 1,qwen25,d2d4,True,False
,5N2/6qR/1K6/8/1B4k1/4q3/8/8 w - - 0 1,qwen25,d7d5,True,False
,8/p5N1/4q1b1/K7/8/2k3r1/2N5/4NQ2 w - - 0 1,qwen25,d5d4,True,False
,6b1/1P2B3/7k/8/5P2/b6K/Q7/8 w - - 0 1,qwen25,g1f3,True,False
,1RK5/1q3QNN/8/1N2P2N/6N1/5b2/5b1k/7B w - - 0 1,qwen25,d5d4,True,False
,nN1N2k1/2QP1K2/4pr2/3P4/8/1n2b3/6R1/4b1r1 w - - 0 1,qwen25,d5d4,True,False
,6N1/Nr6/2q1rn1r/B3P2R/2K1Pr1N/nb1Q4/1k3P2/b7 w - - 0 1,qwen25,d5d4,True,False
,1b1Q1nQ1/3r4/2BBB2b/1nK2k2/b1b1r3/4r3/1N1b4/4b3 w - - 0 1,qwen25,d5d4,True,False
,r2kNr2/q5K1/p7/1P5n/3N4/8/7p/2R5 w - - 0 1,qwen25,d5d4,True,False
,8/8/n2K2p1/8/kR6/3B4/n7/1n6 w - - 0 1,qwen25,d5d4,True,False
,4r3/7b/2Q3Pp/2bb1np1/kB6/r1R3pq/b4K2/B3nN2 w - - 0 1,qwen25,d5d4,True,False
,2KN1qk1/qQ5p/7b/5N2/1Q3P2/N7/bQ2P2Q/q1NQ2Q1 w - - 0 1,qwen25,d2d4,True,False
,8/8/2K1N1q1/6k1/6Q1/1p6/8/1Q3q2 w - - 0 1,qwen25,d5d4,True,False
,7q/bn3r2/p2kPR2/2QnPn1q/1Rp2Rb1/1N3P2/1p1b1Q2/nR1K4 w - - 0 1,qwen25,d5d4,True,False
,q4Q1N/1rrQ1k2/8/rq1p3P/7n/7Q/6q1/BBK5 w - - 0 1,qwen25,d7d5,True,False
,1n1b3k/4b3/8/8/8/4B3/4Q3/3Kb3 w - - 0 1,qwen25,d5d4,True,False
,5B1K/8/8/2b5/6nR/b3Q3/1R3R2/4k3 w - - 0 1,qwen25,d5d4,True,False
,1Nr1nq1n/Kb6/3Q2B1/Rp2bp2/1qN5/2p5/3k3N/6n1 w - - 0 1,qwen25,d7d5,True,False
,n2r2rR/3Q2BN/3B2qP/2q5/1P3Qk1/1nB1KBQ1/1r6/1Q1rqq2 w - - 0 1,qwen25,d7d5,True,False
,k4b2/P7/2Nn3q/1P6/5B1p/6N1/8/1K6 w - - 0 1,qwen25,d5d4,True,False
,2Q5/1N2k3/r1p2B2/1Q1N1nN1/2b5/6B1/7b/K3N3 w - - 0 1,qwen25,d2d4,True,False
,R2KRR2/8/8/1q6/8/1k1n4/8/2b1R1nr w - - 0 1,qwen25,d5d4,True,False
,4b2n/8/8/3b3N/b2Q4/6Pn/Kk3R2/3Q4 w - - 0 1,qwen25,d5d4,True,False
,B3RBk1/8/2N1b2p/3b4/4p3/1Q4b1/2q1p3/4KN2 w - - 0 1,qwen25,d5d4,True,False
,1N5r/1r1R4/b4QP1/R2pp2k/7q/n4PR1/3N2nB/4n2K w - - 0 1,qwen25,d8d7,True,False
,8/nkpB1P2/3p2Qb/3NK3/Q6N/r7/5QNb/R6b w - - 0 1,qwen25,d5d4,True,False
,5K2/b4kB1/5rQr/P3B3/5p2/4N3/8/8 w - - 0 1,qwen25,h7h6,True,False
,RB4Q1/1P6/R7/4Q2N/K5q1/2k2Q1b/Q3N1QB/1Qq2rN1 w - - 0 1,qwen25,d5d4,True,False
,B7/3N4/2n1p1p1/8/5k2/7K/5r2/8 w - - 0 1,qwen25,d2d4,True,False
,2qQ1Q1r/5p2/2Q1b3/P6n/1r2B1bn/4NR1k/Q2K4/3B1R1R w - - 0 1,qwen25,h7h8q,True,False
,6B1/8/3P1r2/8/2k4r/8/2K3b1/2r1N2n w - - 0 1,qwen25,d5d4,True,False
,5B2/1r2n3/r4B2/2r5/3P1q2/p1Rk1K2/5R2/3R1Q2 w - - 0 1,qwen25,d5d4,True,False
,1B6/K7/4R3/2B5/8/q2N1b2/3N4/2k5 w - - 0 1,qwen25,d5d4,True,False
,3qk3/4qR1R/2r3b1/N1p5/RN5R/2p3q1/6nR/2N1K2q w - - 0 1,qwen25,d7d5,True,False
,2K1kR2/8/5P2/5Q1B/2q1Q3/1Q6/b7/1r3Q1Q w - - 0 1,qwen25,h7h5,True,False
,K1nQ3q/6k1/5R2/1P6/1Q4R1/3rrr2/n7/2B1q1QR w - - 0 1,qwen25,h7h5,True,False
,4R3/1Qk5/4R2Q/1K3Q2/8/8/2n3q1/3Q4 w - - 0 1,qwen25,d7d5,True,False
,2n5/6q1/4K2p/1r6/r1b5/7k/5nN1/3Q2R1 w - - 0 1,qwen25,d2d4,True,False
,r4nr1/8/3n1K2/1k2NB1R/4q3/1p6/2p2b2/2NRq3 w - - 0 1,qwen25,d7d5,True,False
,1K6/5N2/N7/1k6/8/8/3R4/1Nq3r1 w - - 0 1,qwen25,d7d5,True,False
,2N3q1/3R3P/1b6/2B1B3/2BKb3/q2N4/1b3k2/N4Q2 w - - 0 1,qwen25,d5d4,True,False
,5q1Q/2b1qr1b/p1N2q1N/3p2pB/kN3R2/P4P2/P4q1p/1r1Kqrn1 w - - 0 1,qwen25,h7h8q,True,False
,6q1/3N3N/6p1/2n3n1/5QRK/1b1P1P2/2r1B3/1N1Brk2 w - - 0 1,qwen25,d2d4,True,False
,B1K3n1/2Q5/3b1bQ1/n6Q/rk2b3/2p1q3/2rq4/rr1B1B2 w - - 0 1,qwen25,d5d4,True,False
,3K1b1Q/6r1/8/8/8/1n6/N4R2/1k3R2 w - - 0 1,qwen25,d7d5,True,False
,3QN3/NKk1r2q/4Q3/8/1bqr3B/Np6/n2q3q/2q4n w - - 0 1,qwen25,d5d4,True,False
,3Q4/1B6/Q7/7P/8/4k3/2KB4/1Q4n1 w - - 0 1,qwen25,d7d5,True,False
,4B3/3P4/2bB4/3n1Q1p/1p2k3/QB2Q1K1/6N1/3B2B1 w - - 0 1,qwen25,d5d4,True,False
,4N1Qb/5P2/n1bQ1R2/K3r3/8/6b1/8/k2N1rb1 w - - 0 1,qwen25,d5d4,True,False
,1R6/1rn4P/Qn6/1K5Q/1P6/n7/1nk5/5B1r w - - 0 1,qwen25,d7d5,True,False
,N5Qr/8/8/bQ2K2R/B7/2k4n/1Q1r2r1/8 w - - 0 1,qwen25,b7b6,True,False
,1B6/2K1b3/P7/8/8/Q2k1BN1/4q3/5b2 w - - 0 1,qwen25,d7d5,True,False
,8/n2PrB1Q/4QBK1/2nP4/3k4/6QR/8/4BQ2 w - - 0 1,qwen25,d5d4,True,False
,4r3/bR6/3B4/1k1Q4/2K5/8/5R2/8 w - - 0 1,qwen25,d5d4,True,False
,1n3q2/2pKkN2/2n2NB1/N7/3NN3/q6p/7N/6Rn w - - 0 1,qwen25,d5d4,True,False
,1Q2rRqk/1bRrp3/1n3p2/4Rb2/P5b1/N1KQ4/2Q5/q2N4 w - - 0 1,qwen25,d7d5,True,False
,b2N1r2/3nrbk1/1BnKr3/7p/3b2Q1/1R2N3/7n/Q6q w - - 0 1,qwen25,d7d5,True,False
,3B4/8/8/5b2/K2B1Q1Q/2n5/7k/8 w - - 0 1,qwen25,d5d4,True,False
,rrQ5/2k5/3B4/rp6/8/1P3K2/2pn4/8 w - - 0 1,qwen25,d7d5,True,False
,5rN1/p3nr2/8/1Rpn2K1/3BRPN1/k1r3P1/7P/1q1q4 w - - 0 1,qwen25,d5d4,True,False
,n1Q1n3/1BN4R/1K1b1P2/PQ1b3k/B2q4/2r4r/1PNRR3/3R1b2 w - - 0 1,qwen25,d5d4,True,False
,1q1R1BQ1/3rp3/2n5/p7/1RRN4/6b1/1K4r1/4R1kq w - - 0 1,qwen25,d7d5,True,False
,1K1R2k1/R7/5q2/2Q5/3Q1bR1/8/4b3/3nN3 w - - 0 1,qwen25,h7h6,True,False
,b3K2q/5B2/6P1/1B2Q1n1/1B6/3pp3/1Q1Q2r1/3k4 w - - 0 1,qwen25,d5d4,True,False
,Rk6/8/P7/7P/8/5P2/P3r1K1/6R1 w - - 0 1,qwen25,h7h8,True,False
,2n5/P7/8/6KP/2b3Q1/4q3/2pp1k1b/N3R3 w - - 0 1,qwen25,d7d5,True,False
,4R3/nn2P3/3P4/2Qq2K1/3qk3/2r2Nbr/NPN2q1P/4n1b1 w - - 0 1,qwen25,d5d4,True,False
,8/6Q1/8/4P3/5p2/2BK4/6k1/4n3 w - - 0 1,qwen25,d5d4,True,False
,1n5n/1n1R4/2n2P2/2q1P3/2n1R2K/5k2/8/8 w - - 0 1,qwen25,d2d4,True,False
,2k5/8/6P1/3KrnbP/5P2/8/R1R4N/8 w - - 0 1,qwen25,d5d4,True,False
,5qk1/2B5/3Krb2/8/6p1/4PpR1/6q1/r1bB4 w - - 0 1,qwen25,h7h5,True,False
,7r/b1RP2K1/1P3n2/7n/8/6kQ/8/3B2N1 w - - 0 1,qwen25,d5d4,True,False
,7B/kP6/7N/3n2n1/1P6/p7/1R6/Q4K2 w - - 0 1,qwen25,d5d4,True,False
,2q1N3/2R2Bp1/2r5/6k1/6p1/3K4/8/8 w - - 0 1,qwen25,d2d4,True,False
,8/1k1B4/2br4/p2B3K/B2RRQ2/1r1rn3/3R4/Q6r w - - 0 1,qwen25,d5d4,True,False
,7B/3Q4/1k1P4/5N2/5n1R/1K4N1/p1qr2P1/3QQ2b w - - 0 1,qwen25,d5d4,True,False
,6q1/K5Q1/8/2b4k/8/1pB4R/qr6/6r1 w - - 0 1,qwen25,h7h6,True,False
,3R4/4rR2/Q5Q1/1b6/3PK3/PR6/1n1k1N2/2q1q2q w - - 0 1,qwen25,h7h8q,True,False
,4nB2/3R4/5Pb1/2p5/5K2/1Q6/1n2B3/3k4 w - - 0 1,qwen25,d2d4,True,False
,2k2b2/4q1QN/5Q2/q6n/Kqb5/2b2P1q/1n3B2/6Q1 w - - 0 1,qwen25,d5d4,True,False
,2Q4Q/2r5/1N1q3B/2b5/P2k2NP/bpq4b/P1b5/1K5q w - - 0 1,qwen25,d7d5,True,False
,8/6Kp/1q1n1n2/5Rk1/n7/4p3/8/3R4 w - - 0 1,qwen25,d5d4,True,False
,4n3/pNk3QQ/3qK3/qB2R1BP/7P/7n/1PnR1b1N/1nQ5 w - - 0 1,qwen25,d5d4,True,False
,5R2/2P3qR/B6R/1P3B2/2pQ3R/b1p1K2P/Rkn5/2Rr1q1q w - - 0 1,qwen25,h7h5,True,False
,3N2qQ/3b3N/8/5n2/1KQ5/8/6Q1/4kb2 w - - 0 1,qwen25,d5d4,True,False
,2B1R3/1K6/n4N2/8/2k1p3/1N2N3/2b4Q/1Rn1b1N1 w - - 0 1,qwen25,d5d4,True,False
,5QN1/1BK4P/pq1P4/8/3p2PQ/k3Q1b1/1PRR3q/2Nnnr2 w - - 0 1,qwen25,d7d6,True,False
,1R5k/5n2/2Qrnp2/KQ1N4/6pQ/2QNq2N/5N2/r5Q1 w - - 0 1,qwen25,d7d5,True,False
,5r1N/3b1B2/3q1k1K/2r3q1/3q4/4rq1P/1q6/8 w - - 0 1,qwen25,d7d5,True,False
,8/3QR3/3b2K1/4BBB1/Rp1Q2RB/1p1Rb2Q/1Pn2b2/5kn1 w - - 0 1,qwen25,d2d4,True,False
,RRr1rR2/P1Q3n1/1p4P1/8/3K4/8/3Rkb1r/2Q3n1 w - - 0 1,qwen25,d2d4,True,False
,3NB3/b1p5/3k2pR/n1pR4/2Q5/n1p2R1p/5q2/NQ1QbBK1 w - - 0 1,qwen25,d5d4,True,False
,1R1R4/3n4/r7/2q5/3QP3/2q3kr/2K3r1/8 w - - 0 1,qwen25,d5d4,True,False
,2BQ2q1/R2K3r/7r/1B1Q1B1Q/3QPPP1/8/1nN2R2/3B3k w - - 0 1,qwen25,d5d4,True,False
,4kBb1/1K1R4/nR2nP1P/P7/6Pr/5bb1/2b2p2/bnQ1q3 w - - 0 1,qwen25,d2d4,True,False
,5bQ1/5P2/8/5N2/q4K2/4k3/8/8 w - - 0 1,qwen25,d2d4,True,False
,1Q1r4/1n2pn2/1q2p1NQ/4n3/q4P1k/1b2N3/2B1p3/2q1n1K1 w - - 0 1,qwen25,d5d4,True,False
,8/7q/k4B2/1R6/7N/5b2/QQ2P3/K5b1 w - - 0 1,qwen25,d2d4,True,False
,4r3/p1k5/5Q1R/8/5KNq/8/5N2/2b5 w - - 0 1,qwen25,h7h6,True,False
,7N/1K6/2rP1r1p/1QP1kn2/4Bn2/R2q1PBq/qB1pn3/8 w - - 0 1,qwen25,d5d4,True,False
,K1QB1Rk1/qr4R1/1PP5/2P5/1r1B4/3NPp2/4N1B1/2q1NN1r w - - 0 1,qwen25,d5d4,True,False
,1rQB4/K6n/2r2p2/Q2Rn1k1/2Q1r3/r7/2B5/B6r w - - 0 1,qwen25,d5d4,True,True
,2B5/2Q4q/3q4/2P2bBp/2Q2nb1/3k4/1K5Q/8 w - - 0 1,qwen25,d5d4,True,False
,2K5/8/4kp2/2q4R/8/1Q2Pr2/4p1N1/5N2 w - - 0 1,qwen25,d7d5,True,False
,3N4/5kr1/5n2/6R1/5r1R/2nQ2P1/6KN/4q3 w - - 0 1,qwen25,d2d4,True,False
,3N4/P4q2/KP2P3/4r3/1B2N1R1/1r2Q1N1/5k1r/3n1Rb1 w - - 0 1,qwen25,d2d4,True,False
,2q1B1q1/5n2/6N1/N2k4/3n1rN1/KQ5p/1n4q1/n1b2R2 w - - 0 1,qwen25,d2d4,True,False
,6q1/Pn2rQr1/K2b2B1/2pR1pk1/1R3R1b/5bQ1/2r2B1q/r3Q1N1 w - - 0 1,qwen25,h7h5,True,False
,4k3/5q2/8/8/NN6/2rN3p/8/4K3 w - - 0 1,qwen25,d2d4,True,False
,3Q4/2qkn3/1b1RPB2/3q4/K2P3n/5P2/p7/8 w - - 0 1,qwen25,d5d4,True,False
,5R1R/4B1rn/8/3P4/nb2N3/5k2/1B2b3/2Q1BK1b w - - 0 1,qwen25,d5d4,True,False
,5n2/3K4/q7/8/7k/r1P5/3r4/1N6 w - - 0 1,qwen25,h7h6,True,False
,1N3Rb1/6qP/Bpn2N1P/Pn1n4/Q2k4/1B2q3/1rpK4/b6Q w - - 0 1,qwen25,d5d4,True,False
,n7/Q1N5/bp1q1p2/1bq1Q3/3K3R/1q1k1p2/4q3/4Nr2 w - - 0 1,qwen25,d7d5,True,False
,R6R/3k3p/3q1pB1/4K3/N5b1/N6n/4P2p/q4b2 w - - 0 1,qwen25,d7d5,True,False
,1N6/n1q4P/K2r1P1R/3Q4/3N1krB/8/8/8 w - - 0 1,qwen25,d5d4,True,False
,8/2P2b2/5R2/3p4/8/8/5n2/2K3k1 w - - 0 1,qwen25,d5d4,True,False
,1QNR4/6N1/KrBN2pQ/nbr4R/bR6/5kRQ/3q3N/2q5 w - - 0 1,qwen25,d7d5,True,False
,rB2KBQ1/Br2b1q1/8/3q4/rQ1Pn2p/3P1N2/kb4B1/3r2Q1 w - - 0 1,qwen25,d5d4,True,False
,1b4R1/1p6/2B1p1R1/3P1B2/4pP2/3P2R1/Q1b2K1N/3k1n2 w - - 0 1,qwen25,d5d4,True,False
,7r/5Kkb/5p1n/2N5/7p/4bn2/1B3B2/3N3R w - - 0 1,qwen25,d7d5,True,False
,4B1n1/7k/3B2b1/r7/2r1nn2/P1qP4/QP3Q2/3nB1qK w - - 0 1,qwen25,d5d4,True,False
,bQ1b4/1pB1K2P/qRr5/3B1k2/1b1n4/2bQn1R1/5NqB/r4qQ1 w - - 0 1,qwen25,d7d5,True,False
,8/q5bB/2N2b2/R1BPR1Np/2K3b1/1PQ3p1/1k1rR2q/3q1b2 w - - 0 1,qwen25,d5d4,True,False
,3K4/8/3b4/Q7/8/1k5n/1B4B1/7b w - - 0 1,qwen25,d7d5,True,False
,4q3/1B3K2/7B/P1b2R2/2r1b3/8/5b2/1B1n3k w - - 0 1,qwen25,d5d4,True,False
,nbr3b1/5p2/3KRq1k/4P2q/1pN2q2/8/P7/8 w - - 0 1,qwen25,d5d4,True,False
,1N2r2b/4p1nP/2bN1r1B/B6R/2Kb2k1/N1Q3qr/8/1R6 w - - 0 1,qwen25,d5d4,True,False
,8/2k5/1K6/2n5/4qr1R/8/8/8 w - - 0 1,qwen25,d2d4,True,False
,2R3k1/q3K3/8/2N5/1B5b/2pP4/p7/NN2NB2 w - - 0 1,qwen25,g1f3,True,False
,3nb2N/8/1K4q1/1r5n/8/2kN4/8/3QQ3 w - - 0 1,qwen25,d7d5,True,False
,1R2R3/1br2R2/2r1K2Q/2b2RN1/nq3r1p/1Q2Q3/2p1p1Nn/3qk3 w - - 0 1,qwen25,d5d4,True,False
,1N5q/3NPKq1/8/1rB5/2p1kb2/1P1p1NP1/5B2/8 w - - 0 1,qwen25,d2d4,True,False
,R3qB2/7r/5K2/8/1P3NPP/1r3q1Q/6N1/3Rk1b1 w - - 0 1,qwen25,h7h5,True,False
,NR1bB3/3Q3Q/1R2N3/3NN3/Kk1q4/4P2p/1P3q2/5R2 w - - 0 1,qwen25,d2d4,True,False
,3R4/1k6/8/2bP3Q/8/R2q4/3p4/6K1 w - - 0 1,qwen25,d5d4,True,False
,6B1/8/8/1N6/7r/3k4/8/3K1q2 w - - 0 1,qwen25,d5d4,True,False
,N2Qn3/6n1/4qQ2/pQ1b2k1/1n3B2/2bR3K/n1pp3p/1B2R3 w - - 0 1,qwen25,d5d4,True,False
,n1q5/3q4/B7/Q1k1B3/1P5P/b5K1/1bqb2b1/8 w - - 0 1,qwen25,d5d4,True,False
,r3r3/6n1/1k1p4/2K3r1/3Pq3/8/7Q/8 w - - 0 1,qwen25,h7h5,True,False
,2q3r1/3BBK2/bP3ppp/3P4/b3R3/np4R1/1k3bq1/1R6 w - - 0 1,qwen25,d5d4,True,False
,8/1Kn3B1/1R1p4/k7/8/3P1n2/2N4R/rR1Q4 w - - 0 1,qwen25,d5d4,True,False
,1b1q3R/6N1/8/N4K2/8/8/1kb1B3/8 w - - 0 1,qwen25,d5d4,True,False
