FEN,Next move
1nq5/r1ppk1b1/bp4n1/pP4pr/2P1p1Pp/N1BP1PNB/P2RK2P/6R1 w - - 12 26,g3f5
N2q2k1/pb4pr/1p1pp2n/5pb1/1BP1P2p/1P1P3P/P4PP1/RQ2KBNR b - - 6 22,g5f6
1n1qk2r/rp2b2p/p1pp1P2/4p3/2P3b1/P3Q2N/1P1PPP2/RNB1KB2 b Qk - 0 14,e7f6
1nb2b1r/1p1pkpB1/r7/pNpP1qN1/1PP1B2P/4n2P/P2K1P2/R2QR3 b - - 4 22,f5f2
1rbq2r1/p1pp1k1p/np4pn/b3p3/P3pQ2/5NP1/2PPKP1P/RNB2B1R b - - 3 15,e5f4
r5kr/P6p/3b3P/1qppp3/2P3PP/3PP3/R1N5/2BK1BNR w - - 2 26,c4b5
3q1rk1/2pn3p/rp4Bb/p1Pp2p1/PPbQ1p2/4P1P1/RBP2P1P/1N2K1R1 b - - 4 18,f8f6
2b2k1r/rp3ppp/2p1p1n1/3p4/Q2K3P/1PP3P1/P3B3/RNB3R1 b - - 0 21,a7a4
r1b2b1r/pp1kn1p1/n4p1p/3ppP2/P1P3PP/4K2B/3NP2R/R1B3N1 b - - 3 19,d5d4
r3kb2/3nn1p1/p1p1bp2/p2Q1PNr/4p1Pp/2P4P/RP2P1K1/1NB2BR1 w q - 1 22,d5e6
r1bq2nr/pp3kpp/3b4/n1P1pp2/P2p1P1P/2NPP2N/2P3P1/1RBQKB1R w K - 1 11,c5d6
rnbqk1nr/p1pp3p/4pppb/8/1p6/1P2PQ1P/P1PP1PP1/RNBK1BNR w kq - 0 7,f3a8
1rb2bn1/p1pk1ppr/n6p/1pqpp3/3P3P/P2Q1N2/1PPBPPP1/RN2KB1R b Q - 3 12,e5e4
r1b2nkr/pq2n3/5p2/B1bp3p/1p4PN/1P3PP1/PQPKP3/4RBNR w - - 0 22,b2f6
r1bn3k/p1p1r1p1/3P1np1/RB5p/4P3/2PP3P/1P4PR/1NBK2Q1 b - - 0 22,c7d6
5kqb/1b5p/rPp1p3/3p1p1P/1P1n4/5PP1/PNQPP3/R2K1BNR w - - 1 26,c2c5
rnb1k2r/p1pp1ppp/1p2p3/5nq1/2Nb1B2/6P1/PPP1PP1P/R2QKBNR w KQkq - 2 8,f4g5
1nbk4/r4r2/pp1Pp2b/2P1P1Pp/3p1NP1/P7/3P3R/RNBQ1B1K b - - 0 23,h6g5
rnN1kB1r/3p1n2/2p1p2p/pP3p2/5N1q/P2P4/2P1PPPP/R2QKB1R b KQkq - 0 14,h4f4
rnb2bn1/pBp1kppr/3p4/1N6/1P1PpPpP/P2q3R/2Q1PK2/R5N1 w - - 2 17,c2c7
rn3b1r/p2kppp1/P4n1p/1ppb4/5PPP/R1P1PN2/B1PP4/1NBKR3 b - - 1 21,d5f3
r1b1kb1r/pp2p1pp/3p1n2/2p3B1/Pq1P1pPP/1PN1nP2/3KP3/R2Q1BNR w kq - 2 16,d1c1
1rbqkbnr/n1ppp2p/Qp3pp1/8/4P3/1P5N/P1PP1PPP/RNB1KB1R b KQk - 1 8,c8a6
rnb1kb1r/1p1p1p1Q/1q2p3/p1Pn2p1/P5P1/2P2P2/1P2P2P/RNB1KBNR b KQ - 0 10,b6b2
r1b1kb1r/ppppn1pp/2n1pq2/5p2/1P3P1P/8/P1PPPKP1/RNB1QBNR w kq - 1 6,b1c3
rnbqkb1r/1ppp2p1/8/p2np2p/P7/2NQP2P/1PPP1PP1/1RB1KB1R b Kkq - 1 9,d5e7
1nb2br1/3qk1pp/rpp1B3/p2ppp2/8/NP2P2P/P1PP1PP1/R1BQK1NR w - - 2 13,e6d7
rnbqk2r/pppp4/4pnp1/2N2p2/5bp1/7P/PPPPPP1N/R1BQKB1R w KQkq - 0 9,d2d4
2b1kbnr/rpBp2p1/n6p/p1p2p2/Q1P5/P2PPp1N/RP4qP/1N2KB1R b Kk - 1 13,g2h1
r1b2rk1/p2pnp2/1pp5/n1b1p1pp/P4PPP/1P2q3/1BPPBN2/RQ2K1NR w KQ - 0 17,d2e3
2b1k1n1/1p1npp1r/rqp5/p2pb1Pp/P2P1NP1/1PB1PP2/2P3BR/1N1Q1K2 b - - 0 23,e5f4
r1bqkb1r/1pppp1pp/p1n2p2/8/3P1n2/P1N3PN/RPP1PP1P/2BQKB1R w Kkq - 1 7,h3f4
rnb2k2/1p1pn2r/p3pp2/1Bp4p/PbP1Pp1q/1Q4PP/1P1P1K2/RNB3NR w - - 0 15,g3h4
rn1q1b1r/p1pkppp1/1p5n/5b1p/1Pp5/P1Q5/3PPPPP/RNBK1BNR w - - 1 12,e2e4
r1b2r2/2pn1k2/pp1p1Np1/B3p2p/P1PQ2nP/1P3PP1/N3P2R/3RKB2 w - - 1 26,d4d5
1nb1kbnr/3qp1pp/2pr4/pp3p2/P2p4/1PN1PP2/1BPPQ1PP/R2K1BNR w k - 3 11,e3d4
rnb1kb1r/pppp2pp/4p1n1/2q5/4p3/1P1P3P/P1PB1PP1/RN1QKBNR b kq - 0 8,e4d3
1nb1q2r/3pn1b1/3k3p/1p2ppp1/2QpP2P/pP3NPR/P2BBP2/1RK3N1 w - - 0 25,d2b4
r1bqkbnr/pppp1ppp/8/1Pn1p3/5P2/N6P/P1PPP1P1/1RBQKBNR b K - 0 6,d8h4
1nb1k2r/2pp1p2/rp2pnp1/7p/5PP1/PB5N/2KbP1RP/RNB5 b k - 1 19,d2c1
rnbqkb1r/1ppp1p1p/p2np1p1/4PP2/7P/1QP3P1/PP1P2B1/RNB1K1NR b KQq - 0 9,d6f5
1nb2b1r/7p/rp1q1k1R/p1p2Pp1/P2pQP2/R5P1/1P1P4/1NB1KBN1 b - - 0 17,f8h6
1rb1rk2/p2p2bp/1pP1Ppn1/3P2p1/Pn4P1/8/2NP1PBP/R1B1K1NR w - - 1 26,c2b4
rnb1kbnr/1p2p3/p2q1p1p/2pp3P/1P6/2N3R1/P1PPPPP1/R1BQKBN1 w Qkq - 0 9,b4c5
rnbq1kr1/1p1pbp2/p1p2n1p/1P2p1p1/3PP1P1/B4N1B/P1P2PRP/RN1QK3 b Q - 0 13,e7a3
r1b2k2/p5b1/Bq1p1pr1/2p5/P2Np1pp/1Pn1P3/2PK1PPP/RNB4R w - - 4 25,b1c3
r2qkr2/5p1p/3pb2n/1ppp2p1/pP2n2P/2PBP3/PB1P1P2/RN3K1R w q - 4 19,d3b5
1nb3nr/rp1p2kp/7b/2p1pp2/pP2B1p1/3P2P1/P1PQPK1P/RNB3NR w - - 2 16,d2c3
3qkb1r/1rpnp2p/7n/1p1p1pP1/p1PP3R/1PNBP3/P2B1PP1/R3K1N1 b Qk - 1 15,e7e5
1r2kbnr/Rpp1p2p/5p2/6pP/qP6/2QP1P2/2P1PRK1/1N6 w k - 2 26,a7a4
rnb4r/pp2kBp1/3p3p/2Q3b1/5P2/1PnqP1PP/P1PP4/RNB1K1NR w - - 1 20,c5c7
2bqkbnr/4pp2/rppp2pp/8/pP4Q1/2nPP1PP/PBP2PBR/RN2K1N1 b Qk - 7 13,c8g4
r1bqk2r/1ppp3p/n1B3pn/p3ppb1/P3P1P1/3K3N/1PPP3P/RNB2Q1R w kq - 4 12,c6b5
r1bqkb1r/p1pppp1p/n4n2/1p1N3Q/P6p/4P3/1PPP1PP1/R1B1KBNR b KQkq - 1 6,f6h5
r2q1b1r/pp2kppp/n2p4/P1p1p3/4PnbN/R5P1/1PPP1P1P/1NBQKB1R b - - 0 10,g4d1
rn2kb1r/1p1b1pp1/pq2p1Bp/2pp4/P2P1PnP/1P2P2R/1QP5/RNB2KN1 w - - 0 19,a4a5
rnB1k3/p1p1np2/5rp1/1p1Np1P1/1P2P3/b5qb/P1PP1Q1P/R1B1K2R b KQq - 0 19,g3f2
1nbk1b1r/2r3p1/p1p1Qn1p/5P1N/1PPN4/2B5/P3PPBP/R2K1R2 b - - 0 21,c8e6
rnb2b1r/pp1p2pp/5k1n/2P1p3/3PB1p1/N6N/PBq1PP1P/1R1Q1RK1 w - - 0 15,d1c2
2b1k1nr/1ppnqp2/r2P2pp/p7/3Q1P1P/P1b1pN2/1P1PP1P1/RNB1KB1R w KQk - 1 13,b1c3
rnb1k1nr/1ppp1q1p/p3pppb/8/3P1PP1/PP2P2N/2P4P/RNBQKB1R w KQkq - 0 8,c2c4
1nb1q2r/rkpp1ppn/p4b2/2p2BNp/1PP2P1P/N2pP1P1/P2K4/2Q4R w - - 0 25,c1b1
r2q1bnr/4p1pn/2p5/pP1P3p/RPP2Pk1/3b4/1B1PN2P/3K3R b - - 1 25,h5h4
1n2qk1r/rp3p2/p4P2/1NPQp1pp/3P2b1/2P4B/P4P1P/R1B1K1NR w KQ - 0 20,b5d6
r2qkbnr/pppb1ppp/n3p3/3p4/Q1P1P3/7N/PP1PKPPP/RNB2BR1 b kq - 1 6,d7a4
5bkr/3b2pp/n3pp1n/rpq5/1PpP2PP/RQ3P2/8/1N1K2NR b - - 1 24,c5d4
rn4nr/p1pq1kp1/1p1bb2p/3ppP2/2P2P2/P5Q1/1P1PNKPP/RNB2B1R w - - 5 11,g3g6
r1b1kb1r/2q1p1p1/p1p2p1n/1p1pPP2/1P5p/P6P/1P1PB1P1/RNBQK1NR w KQkq - 2 12,e2h5
r1bqk2r/ppppNppp/8/4p3/1nP3PP/b7/1P1PPP2/RNBQKB1R w KQkq - 1 9,b2a3
rnb2bnr/1p1p4/p1q2ppB/2PkP2p/7P/N1P2N2/PP2P1P1/R3KB1R w KQ - 0 14,h6f8
rnn1kbr1/4ppp1/2p1b3/pp1p3p/1P5P/P1P1PP2/RB1PK1P1/1N2QBNR b q - 5 15,g7g5
rnb1kbnr/pp1q1ppp/3pp3/2p5/4P3/2N1Q1PP/PPPP1P2/R1B1KBNR w KQkq - 4 7,b2b3
1r2kbnr/pb1n3p/Bpq2pp1/2p1p3/1P2pP2/NN5P/P1PP2PR/R1BQ1K2 w k - 4 17,a6b5
r1b2knr/3q3p/1N1pp2b/p4p1P/1pPP2p1/P2KQP1R/4P1P1/1R3BN1 w - - 9 24,b6d7
rnb1kb1r/p2p1ppp/1p3n2/7B/1P3P2/P1P1P2N/3P1qPP/RNBK1R2 b kq - 2 17,f2f1
rn1qkb1r/pppb1ppp/7n/3pp3/3P1B2/N2Q3N/PPP1PPPP/R3KBR1 b Qkq - 1 6,e5f4
rn1q1b1r/3ppk2/b4ppn/ppp2P1p/2P4P/P3N3/1P1PP1PR/R1BQKBN1 w Q - 3 10,c4b5
2b1k1nr/1pqp2b1/n2Bp3/p4pPp/P1rP1P2/1NP2BP1/3QP3/Rn2K1NR b KQk - 4 22,b1d2
7r/2pbnpBp/1Pk3p1/pp2p3/3PPPPq/8/P1n1K2P/1N2RBNR w - - 1 21,e1c1
1nbqkbnr/2ppp2p/r7/pp3pp1/1P5P/N2PB3/P1PQPPP1/R3KBNR b KQk - 0 7,f8g7
3qkbnr/rppbpppp/n2p4/p6Q/P3P3/6P1/1PPP1PBP/RNB1K1NR w KQk - 1 9,h5a5
r1b2b2/1p2pk2/5N1n/p4P2/PPPP1n1p/5pr1/7P/RN1RK3 w - - 0 25,h2g3
r1bq1b1r/3n1kp1/1pnppp1p/p1pPN3/P5P1/N1PK4/1P1QPP1P/R1B2B1R b - - 2 14,d7e5
1rbqkbnr/pppp4/2n1pppp/N7/1PP5/8/P2PPPPP/R1BQKBNR b KQk - 0 7,c6b4
r3nk1r/p2nb2p/b6N/1ppp2pP/PP2Pq2/5PRN/2PPBKP1/R1B1Q3 w - - 2 24,h3f4
2rq1bnr/p1nppk1p/1p6/1Pp2p1p/P5P1/2N2b1B/2PPPK2/R1B1Q1NR w - - 2 15,e2f3
1n1k1b1r/1rpbpppp/1p3n2/1q1p4/p2PPBP1/2P2P2/1P1K2BP/RNQ3NR b - - 4 16,d5e4
1nbqk2r/rpppnpb1/7p/4N1p1/pPPPP3/B3Q3/P4PPP/RN2KB1R b KQk - 0 9,d7d6
r1bk1bnr/pppn1pp1/3Q3p/4P3/P1P4P/3q3R/RP2PP2/1NB1KBN1 w - - 1 11,d6d3
rnb1k2r/1p1p1pp1/p2b3n/q1p1p3/PPP1P1Pp/2N5/3P1P1P/R1BQKBNR b KQkq - 2 10,c5b4
r1b1kb2/p2p1pp1/n7/2p1p2n/1pPPP1P1/7B/RP1K1Q2/1N4R1 w q - 2 20,d4e5
rnbqkbnr/4p1p1/2p5/3p1pPp/2p1PPQP/p6B/PP1P4/RNB1K1NR w KQkq - 0 10,g4g3
rnq1k2r/3p2p1/ppp2n1p/2b2p1P/P2P1pP1/1PP2Q2/4PP1R/3RKBN1 b kq - 0 18,f5g4
rnb2bnr/1p1p1k1p/p3p1p1/5p2/1PQq4/7N/P1P1PPPP/RNB1KB1R w KQ - 0 10,h3g5
rnb1kb1r/ppqp1p1p/B1p1n1p1/4p3/3PP1P1/1P6/P1P1NP1P/RNBQK1R1 b kq - 0 9,b8a6
r1bqk2r/2pp1ppp/5n2/1pn1p3/NPP5/P5PN/3PPPBP/R1BQK2R w KQkq - 0 11,a4c5
4r2r/p1qk1ppp/npp4n/3p4/1P1P1P1b/2PBP2P/P6P/RN1K2NR b - - 4 22,a6b4
1r1qkb1r/pp2pp1p/n2p1n2/2p3Bb/2P4P/N2P4/PP2PPB1/R2QK1NR b KQk - 2 10,f8g7
1nr2bnr/p2bpkpp/2pp1p1P/qp2P3/1P1P3R/P1N5/2PK1PP1/R1BQ1BN1 b - - 0 13,a5c7
r1b1qbnr/pBp1p2k/2n4p/3pPp2/5P2/N6P/PPPP1KP1/R1B3NR b - - 0 12,c8b7
1r1q2n1/1bnp1k2/2p2ppP/p3p3/pP6/R1P1KN2/3PQ2P/1NB2B1R w - - 1 21,e3f2
3rk1n1/p2b4/2p4r/1p1p1pp1/2BPPPp1/B1P1K2N/P1Q4P/RN5R b - - 1 25,h6h3
3k1br1/1bq1ppp1/4rn1p/pNpp4/1pPP1P2/1P2B1PP/P6Q/2KR2NR b - - 0 21,c7c8
rn2kbnr/pp3pp1/7p/1PpQ4/4p1b1/4qN2/PB2PPBP/RN2K2R w KQ - 2 16,f2e3
rn1k1b1r/pp1b1ppp/4pn2/1qpp4/4PPP1/1P1P3P/P1PB4/RN1QKBNR b KQ - 2 9,b5b6
rnq1kbnr/pp1bp1p1/2pp4/5p1p/5P1P/3P4/PPPBPKP1/RNQ2BNR w kq - 1 7,g1f3
2q1k1r1/2p2pbp/rpnp1Pp1/pP2p3/P3P1n1/7N/RBPPK1BP/1N1Q1R2 b - - 0 17,g7f6
1r1qkbnr/pbp1p1p1/1pP4p/3pnp2/5B2/P2P4/RP2PPPP/1N1QKBNR w Kk - 2 11,f4e5
2b5/rq1pbkrp/npp1pp1n/p7/2PP4/NP2P1PN/PB3P1P/R3KBR1 b - - 0 17,d7d5
rnb1kbnr/4q1p1/1p3p2/p1ppp2p/P4PPP/2PPPR2/1P6/RNBQKBN1 b Qkq - 0 11,h5g4
r1b2k1r/p2p4/2p2Bp1/1pb2N1p/n3P1P1/1P1p3B/1P3P1P/R2QK1NR w - - 0 23,d1d3
rnbqkb1r/p1p5/1pn3pB/4pp2/P1P5/1P1P1NP1/4PPBP/RN1QK2R w KQkq - 5 16,h6f8
r4b1r/p4k2/Pp1n2p1/4p2p/P1pp1pPP/2PP1P2/NB1KP3/1R1Q1B1b w - - 3 24,c3d4
r1bqkbr1/2pppp1p/ppn2np1/8/PP1P4/7N/2P1PPPP/RNBQKB1R w KQq - 1 7,d4d5
rnb2b1r/pp3pp1/2pkp3/q2p3p/6nP/N1PP3R/PP2PPP1/R1B1KBN1 w Q - 0 10,g1f3
rnb5/2qpk1rp/1pp1p1p1/pN3P2/1Pn2P1N/P2B2KP/5QP1/R1B2R2 b - - 1 19,g6f5
2k2rn1/pb1p4/2p1p2r/NpB3p1/3n1Pp1/3P2PN/PPP2P1q/R1Q1K2R b KQ - 3 19,h2h1
r1b1qbnr/2Npkp1p/1pn5/Q1p5/P1P1PBp1/3P3N/1P3KPP/1R3B1R b - - 0 14,f7f6
r1b1kb1r/2p1n1p1/1pp1pp1p/p3q3/Pn2PPP1/1P3Q1P/N1PP4/R1B1K1NR b KQkq - 2 14,e5a1
rnb2qnr/p1p1kp1p/Bp4pb/3p2P1/PP1pPP2/2P1B3/7P/RN1QK1NR b KQ - 1 12,d4e3
2b2bnr/rp2p1p1/p1nq2p1/2p1k1Bp/1Pp1P1P1/N2P1P1P/P6R/R2BK1N1 b Q - 5 17,e5e6
rn1qk1nr/1bpp1pB1/p2P2p1/1p2p3/7P/N2P4/PP2PPPN/RQ2KB1R b KQkq - 3 11,h8h5
1r1q1bn1/2k1p1pr/B4p1p/Ppp1n1NP/P2Q2b1/B1pP4/N4P2/2R1K2R b - - 3 23,d8d4
1rbk1b1r/pp2p2p/2p2pqn/2Pp2p1/1n3P2/PP2P3/1B1PK1PP/RN1Q1BNR b - - 0 14,b4d3
rn2k1n1/p1p1q3/3b1p1P/1p2pbRp/3Pp3/PP1Q1N2/2P2P1P/RNB1K3 b - - 1 17,f6g5
rn1q1b1r/p1ppkppp/b3p2n/1p6/1P5P/2N1P3/P1PPQPP1/R1B1KBNR b KQ - 3 6,e7e8
r6r/1ppkq1pp/5p1n/p1B2b1Q/3p1Nn1/PP3P2/R1PNP2P/4KB1R w K - 0 21,c5e7
rn1q1br1/2pppkpp/b6n/pp5P/4P2R/6P1/PPPPBP2/RNB1K1N1 w Q - 0 9,d2d4
r1b1kb1r/nppp2p1/5p1n/P4q2/4Pp1p/N5PP/P1PPQ3/R1BK1BNR w kq - 0 13,e4f5
r1bqkbn1/pp4p1/n3pp1r/2pp2Pp/P2PN2P/1QP5/1P2PP2/R1B1KBNR b KQ - 3 10,h6h8
rn3rk1/pRpqpp1p/2P3pb/6P1/P2pb2P/3P1N2/1P1PB3/1NBQK2R b - - 4 16,e4c6
1r1q1bn1/1b1ppk1r/n6p/PpP3p1/4P1p1/B4PP1/P1PNQ1BP/R4K1R w - - 0 18,h2h4
rnb2b1r/1p1p1kpp/pq5n/4p3/5p1P/2pN1P2/P1PPP1P1/R1BQKBNR b K - 1 15,b8c6
rnb3r1/p1q1pkbp/2p2pp1/1B1p4/P3NP2/4P2P/1PPP2P1/R1B1QKNR w - - 7 12,b5d3
rnb1k2r/pp1p4/6pp/3P1pq1/1n1P1p1P/BP6/P1PK1QP1/R4BNR b q - 0 15,g5d8
2b4r/2pkq2p/n2p4/pr1QbP2/1p2KPn1/3B3N/PPPP2PP/R1BN1R2 w - - 19 20,d3b5
7r/r2kbp1p/pp2p2q/1NpnP2P/b5pB/P2P1N2/RPP1QPPR/3K1B2 w - - 6 25,b5a7
1n1qkb1r/r2ppppp/bp6/p1p4n/P1P4P/1P1P4/3BPPP1/RN1QKBNR w KQk - 0 10,g2g4
rqb1kb2/pp1pnNpr/2p5/2n2pB1/1P1Pp3/P1P2PP1/4P2P/RN1QKB1R b Qq - 0 15,c5e6
rnbqkb1r/1p1p3p/4pppn/2p5/p1P2P2/PP1PP3/R3N1PP/1NBQKB1R b Kkq - 1 8,d7d5
r1bqkbr1/3pp1n1/ppp5/1P2Pppp/2BP2PP/5Q2/1PP2P2/RNB1K1NR b - - 1 19,h5g4
rn2kbnr/3b4/1p1pp1pp/p1p1Nq2/P4P2/1P1PP2P/1RP3P1/2BK1BR1 w kq - 1 22,e5c4
rn1q2nr/1pp1k1b1/5p2/p1Pp1bpp/P2Pp1P1/7P/1PQBPP2/RN2KBNR w K - 9 16,g4f5
2b1k2r/3q1pb1/r1pppn2/pp5p/P1P1PP1N/R2Q2P1/1P3K1P/1NB2B1R b k - 0 18,b5c4
r2q1bn1/p2p4/1ppPppp1/n3P1p1/1P2k3/2P1N1P1/PQ3P1r/1RBK2NR w - - 0 25,b2c2
1nbk3r/1rp1b1pp/p2qpp2/3p2Q1/p3PP1N/NP5P/P1PP2P1/R1BK3R b - - 7 14,f6g5
r1kq3r/ppp1np1p/2Qp2p1/b1P1pb2/4n2P/3P3N/PP1BN3/R1K2B1R b - - 0 20,a5d2
rnb1k1nr/pp1pq1p1/2p1p3/5p1p/3P1P1P/b1N1K3/PPP1P1PR/1RBQ1BN1 w kq - 2 9,b2a3
rnb2b1r/ppppk1pn/4pq1p/8/3PPp2/2N3PP/PPP2P2/R1BQKBNR w - - 5 11,c1f4
rnb1kb2/3qp1p1/8/p1pBnp2/1p4P1/P1Pp4/1P1PNr2/R1BQKN1R w Qq - 2 20,e1f2
rnb1k2r/ppp1pp1p/7n/1P4p1/P1B1P1q1/8/2PP1P1P/bNB1K1NR b Kkq - 1 12,g4e4
1nbq1kr1/r7/1pp2pp1/p1bp1np1/3PPPP1/PPP4P/3B2R1/RN2KB2 w Q - 1 20,g4f5
1rb1kb1r/ppq4p/1np1pn2/1B3pP1/PP1P4/4PQ1R/3P1PP1/RNB2KN1 w k - 3 13,g5f6
r1bk1bnr/pq4pp/1pnp4/2p1p1N1/P4Bp1/3P2P1/RPPN1P1P/3QK2R b - - 5 16,g8f6
1rb2bkr/1p1np2p/6q1/p1pp1PN1/nPP3P1/5P1P/3P1K2/RNBQ1B1R b - - 0 18,g6g5
rnb1kb1r/pp1p1p1p/4p2n/q1p3p1/1P6/P7/2PPPPPR/RNBQKBN1 b Qkq - 0 6,a5c7
rnbB1knr/3p1p1p/3bp3/ppp3p1/1P1P2P1/3KPN1P/P1P2P2/RN1Q1B1R w - - 1 13,b4c5
rnb1kbnr/ppB4p/2p5/1q1pp3/5p2/1P1P3P/P1PQPPP1/RN2KBNR b KQkq - 0 9,d5d4
rnb1kb2/pp1p2p1/7r/q1p1p2p/4Pp1N/BPN2B2/P1PP1nPP/R2QKR2 w Qq - 0 12,f1f2
rn2kb1r/ppp1pppp/2qpbn1B/8/8/2PP4/PPQ1PPPP/RN2KBNR b KQkq - 4 6,g7h6
r1bk2nr/1pp3pp/Q3pp2/n5P1/4pP2/1P3N1B/PbPK3P/RN5R b - - 0 15,a8a6
r1bqkbnr/1pppp1pp/p3n3/8/P1P2p1P/1P3P2/3PP1PR/RNBQKBN1 b Qkq - 0 7,d7d5
r1bk1br1/pp1pN3/n4p1p/8/8/N3Q1P1/PPP1PPPn/1RB1KB1R w - - 2 14,e7g8
rnbqkb1r/2p1p2p/1p4pn/p2P1p2/8/1P1P1PPN/P3P2P/RNBQKB1R b KQkq - 0 7,f8g7
rnb3nr/pp1qp1bp/2Qpk3/2p2p2/2P1P2P/4KPp1/PP1PN1P1/RNB2B1R w - - 2 13,e4f5
1r3bnr/2q3pp/2ppk3/p3p3/5P2/pPP1PN2/N1BP2QP/1RB2K1R w - - 1 26,c1a3
r1bk1bnr/2pn2pp/p2p1p2/1N1qp1B1/Pp6/2NP1P2/1PPKP1PP/1R1Q1B1R w - - 9 13,c3d5
r2qkbnr/p1pnp3/1p1p4/1N3ppp/1QBP4/4PP1b/PPP2KPP/R1B3NR b kq - 1 9,h3g2
rn2k2r/p1pp1p1p/2b2Bpn/3P4/4p3/pPN4P/R1P1P1PR/3QKBN1 b kq - 0 14,e8g8
rnb1kbr1/1p1pppq1/2p4p/P5p1/4n3/3NP1P1/RBPP3P/2Q1KB1R b K - 2 15,g7g6
